# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Cycle Number"	"Target"	"Rn"	"dRn"	"Sample"	"Omit"
"1"	"A1"	"1"	"Target 1"	"0.16421586275100708"	"0.01340970663087708"	"Sample 1"	"FALSE"
"1"	"A1"	"2"	"Target 1"	"0.16740043461322784"	"0.01297242371808914"	"Sample 1"	"FALSE"
"1"	"A1"	"3"	"Target 1"	"0.16841797530651093"	"0.010368109636363518"	"Sample 1"	"FALSE"
"1"	"A1"	"4"	"Target 1"	"0.16987496614456177"	"0.008203245699405656"	"Sample 1"	"FALSE"
"1"	"A1"	"5"	"Target 1"	"0.1761797070503235"	"0.010886131830158671"	"Sample 1"	"FALSE"
"1"	"A1"	"6"	"Target 1"	"0.17880596220493317"	"0.009890532209759648"	"Sample 1"	"FALSE"
"1"	"A1"	"7"	"Target 1"	"0.18409422039985657"	"0.011556935629674372"	"Sample 1"	"FALSE"
"1"	"A1"	"8"	"Target 1"	"0.18782232701778412"	"0.01166318747259322"	"Sample 1"	"FALSE"
"1"	"A1"	"9"	"Target 1"	"0.18775393068790436"	"0.007972936367704755"	"Sample 1"	"FALSE"
"1"	"A1"	"10"	"Target 1"	"0.1875481754541397"	"0.004145326358931403"	"Sample 1"	"FALSE"
"1"	"A1"	"11"	"Target 1"	"0.18953773379325867"	"0.002513029923041657"	"Sample 1"	"FALSE"
"1"	"A1"	"12"	"Target 1"	"0.190458744764328"	"-1.878138808977109E-4"	"Sample 1"	"FALSE"
"1"	"A1"	"13"	"Target 1"	"0.1928899735212326"	"-0.0013784398990018126"	"Sample 1"	"FALSE"
"1"	"A1"	"14"	"Target 1"	"0.19665992259979248"	"-0.001230345595450641"	"Sample 1"	"FALSE"
"1"	"A1"	"15"	"Target 1"	"0.1998123675584793"	"-0.0016997554117724883"	"Sample 1"	"FALSE"
"1"	"A1"	"16"	"Target 1"	"0.2048839032649994"	"-2.5007448026111156E-4"	"Sample 1"	"FALSE"
"1"	"A1"	"17"	"Target 1"	"0.20970450341701508"	"9.486708967458707E-4"	"Sample 1"	"FALSE"
"1"	"A1"	"18"	"Target 1"	"0.21366241574287415"	"0.0012847284475962367"	"Sample 1"	"FALSE"
"1"	"A1"	"19"	"Target 1"	"0.22061705589294434"	"0.004617513822657723"	"Sample 1"	"FALSE"
"1"	"A1"	"20"	"Target 1"	"0.2347509115934372"	"0.015129514748141878"	"Sample 1"	"FALSE"
"1"	"A1"	"21"	"Target 1"	"0.259072870016098"	"0.035829618395794"	"Sample 1"	"FALSE"
"1"	"A1"	"22"	"Target 1"	"0.30612698197364807"	"0.07926187557833535"	"Sample 1"	"FALSE"
"1"	"A1"	"23"	"Target 1"	"0.3814804255962372"	"0.15099346442591577"	"Sample 1"	"FALSE"
"1"	"A1"	"24"	"Target 1"	"0.5151785612106323"	"0.2810697452653022"	"Sample 1"	"FALSE"
"1"	"A1"	"25"	"Target 1"	"0.7139922976493835"	"0.4762616269290447"	"Sample 1"	"FALSE"
"1"	"A1"	"26"	"Target 1"	"0.9765512347221375"	"0.7351987092267899"	"Sample 1"	"FALSE"
"1"	"A1"	"27"	"Target 1"	"1.26035737991333"	"1.0153829996429737"	"Sample 1"	"FALSE"
"1"	"A1"	"28"	"Target 1"	"1.517907738685608"	"1.269311503640243"	"Sample 1"	"FALSE"
"1"	"A1"	"29"	"Target 1"	"1.7257353067398071"	"1.4735172169194335"	"Sample 1"	"FALSE"
"1"	"A1"	"30"	"Target 1"	"1.8879114389419556"	"1.632071494346573"	"Sample 1"	"FALSE"
"1"	"A1"	"31"	"Target 1"	"2.0099165439605713"	"1.7504547445901804"	"Sample 1"	"FALSE"
"1"	"A1"	"32"	"Target 1"	"2.1022746562957764"	"1.8391910021503766"	"Sample 1"	"FALSE"
"1"	"A1"	"33"	"Target 1"	"2.1674747467041016"	"1.900769237783693"	"Sample 1"	"FALSE"
"1"	"A1"	"34"	"Target 1"	"2.2146410942077637"	"1.9443137305123466"	"Sample 1"	"FALSE"
"1"	"A1"	"35"	"Target 1"	"2.2468345165252686"	"1.9728852980548426"	"Sample 1"	"FALSE"
"1"	"A1"	"36"	"Target 1"	"2.2641823291778564"	"1.9866112559324218"	"Sample 1"	"FALSE"
"1"	"A1"	"37"	"Target 1"	"2.2777769565582275"	"1.9965840285377843"	"Sample 1"	"FALSE"
"1"	"A1"	"38"	"Target 1"	"2.2879390716552734"	"2.0031242888598215"	"Sample 1"	"FALSE"
"1"	"A1"	"39"	"Target 1"	"2.2984366416931152"	"2.010000004122655"	"Sample 1"	"FALSE"
"1"	"A1"	"40"	"Target 1"	"2.3006296157836914"	"2.008571123438222"	"Sample 1"	"FALSE"
"1"	"A1"	"41"	"Target 1"	"2.3068809509277344"	"2.0112006038072563"	"Sample 1"	"FALSE"
"1"	"A1"	"42"	"Target 1"	"2.312894344329834"	"2.0135921424343475"	"Sample 1"	"FALSE"
"1"	"A1"	"43"	"Target 1"	"2.3161120414733887"	"2.0131879848028933"	"Sample 1"	"FALSE"
"1"	"A1"	"44"	"Target 1"	"2.3171756267547607"	"2.010629715309257"	"Sample 1"	"FALSE"
"1"	"A1"	"45"	"Target 1"	"2.3168230056762695"	"2.006655239455757"	"Sample 1"	"FALSE"
"2"	"A2"	"1"	"Target 1"	"0.20284397900104523"	"0.014621664370809292"	"Sample 1"	"FALSE"
"2"	"A2"	"2"	"Target 1"	"0.2072179913520813"	"0.01569648495032673"	"Sample 1"	"FALSE"
"2"	"A2"	"3"	"Target 1"	"0.20986627042293549"	"0.015045572249662312"	"Sample 1"	"FALSE"
"2"	"A2"	"4"	"Target 1"	"0.21090880036354065"	"0.01278891041874887"	"Sample 1"	"FALSE"
"2"	"A2"	"5"	"Target 1"	"0.2125871628522873"	"0.011168081135976879"	"Sample 1"	"FALSE"
"2"	"A2"	"6"	"Target 1"	"0.2154548317193985"	"0.010736558231569479"	"Sample 1"	"FALSE"
"2"	"A2"	"7"	"Target 1"	"0.21783478558063507"	"0.009817320321287418"	"Sample 1"	"FALSE"
