# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Reading Number"	"Target"	"Temperature"	"Fluorescence"	"Derivative"
"1"	"A1"	"1"	"Target 1"	"59.97060012817383"	"892105.8125"	"16296.2060546875"
"1"	"A1"	"2"	"Target 1"	"60.24471664428711"	"891322.4375"	"16698.609375"
"1"	"A1"	"3"	"Target 1"	"60.51883316040039"	"892280.0"	"17223.56640625"
"1"	"A1"	"4"	"Target 1"	"60.792945861816406"	"885661.375"	"17823.7109375"
"1"	"A1"	"5"	"Target 1"	"61.06706237792969"	"884506.75"	"18423.90625"
"1"	"A1"	"6"	"Target 1"	"61.34117889404297"	"877630.875"	"18946.283203125"
"1"	"A1"	"7"	"Target 1"	"61.61529541015625"	"874514.625"	"19335.74609375"
"1"	"A1"	"8"	"Target 1"	"61.889408111572266"	"868575.75"	"19577.205078125"
"1"	"A1"	"9"	"Target 1"	"62.16352462768555"	"862531.75"	"19700.296875"
"1"	"A1"	"10"	"Target 1"	"62.43763732910156"	"856282.6875"	"19767.787109375"
"1"	"A1"	"11"	"Target 1"	"62.711753845214844"	"850326.625"	"19853.6796875"
"1"	"A1"	"12"	"Target 1"	"62.985870361328125"	"844120.875"	"20013.197265625"
"1"	"A1"	"13"	"Target 1"	"63.259986877441406"	"840092.5625"	"20260.408203125"
"1"	"A1"	"14"	"Target 1"	"63.53409957885742"	"833181.75"	"20563.234375"
"1"	"A1"	"15"	"Target 1"	"63.8082160949707"	"827966.5625"	"20833.064453125"
"1"	"A1"	"16"	"Target 1"	"64.08232879638672"	"822347.25"	"21038.623046875"
"1"	"A1"	"17"	"Target 1"	"64.3564453125"	"816048.5"	"21145.373046875"
"1"	"A1"	"18"	"Target 1"	"64.63056182861328"	"808354.0"	"21155.80078125"
"1"	"A1"	"19"	"Target 1"	"64.90467834472656"	"801538.9375"	"21103.693359375"
"1"	"A1"	"20"	"Target 1"	"65.17879486083984"	"797633.5625"	"21034.53125"
"1"	"A1"	"21"	"Target 1"	"65.45291137695312"	"788588.9375"	"20983.068359375"
"1"	"A1"	"22"	"Target 1"	"65.72702026367188"	"784352.0625"	"20961.427734375"
"1"	"A1"	"23"	"Target 1"	"66.00113677978516"	"778900.75"	"20961.4375"
"1"	"A1"	"24"	"Target 1"	"66.27525329589844"	"771779.5"	"20964.98828125"
"1"	"A1"	"25"	"Target 1"	"66.54936981201172"	"765077.1875"	"20955.23046875"
"1"	"A1"	"26"	"Target 1"	"66.823486328125"	"759295.9375"	"20921.3203125"
"1"	"A1"	"27"	"Target 1"	"67.09760284423828"	"754241.3125"	"20860.033203125"
"1"	"A1"	"28"	"Target 1"	"67.37171936035156"	"746302.1875"	"20775.8671875"
"1"	"A1"	"29"	"Target 1"	"67.64582824707031"	"741520.5"	"20683.564453125"
"1"	"A1"	"30"	"Target 1"	"67.9199447631836"	"734555.6875"	"20605.8203125"
"1"	"A1"	"31"	"Target 1"	"68.19406127929688"	"729010.5"	"20564.091796875"
"1"	"A1"	"32"	"Target 1"	"68.46817779541016"	"722134.1875"	"20563.78125"
"1"	"A1"	"33"	"Target 1"	"68.74229431152344"	"718375.125"	"20586.052734375"
"1"	"A1"	"34"	"Target 1"	"69.01640319824219"	"711994.3125"	"20595.255859375"
"1"	"A1"	"35"	"Target 1"	"69.29051971435547"	"706372.4375"	"20561.84765625"
"1"	"A1"	"36"	"Target 1"	"69.56463623046875"	"697064.6875"	"20477.91796875"
"1"	"A1"	"37"	"Target 1"	"69.83875274658203"	"693606.875"	"20382.890625"
"1"	"A1"	"38"	"Target 1"	"70.11286926269531"	"686977.25"	"20333.15234375"
"1"	"A1"	"39"	"Target 1"	"70.3869857788086"	"681805.625"	"20375.896484375"
"1"	"A1"	"40"	"Target 1"	"70.66110229492188"	"677018.3125"	"20528.2734375"
"1"	"A1"	"41"	"Target 1"	"70.93521118164062"	"668932.6875"	"20754.560546875"
"1"	"A1"	"42"	"Target 1"	"71.2093276977539"	"663313.5"	"21027.3359375"
"1"	"A1"	"43"	"Target 1"	"71.48344421386719"	"658883.25"	"21303.408203125"
"1"	"A1"	"44"	"Target 1"	"71.75756072998047"	"650033.5625"	"21539.30859375"
"1"	"A1"	"45"	"Target 1"	"72.03167724609375"	"644910.0625"	"21704.716796875"
"1"	"A1"	"46"	"Target 1"	"72.3057861328125"	"637688.9375"	"21791.494140625"
"1"	"A1"	"47"	"Target 1"	"72.57991027832031"	"631736.625"	"21816.1484375"
"1"	"A1"	"48"	"Target 1"	"72.85401916503906"	"624878.8125"	"21811.18359375"
"1"	"A1"	"49"	"Target 1"	"73.12813568115234"	"619021.3125"	"21808.083984375"
"1"	"A1"	"50"	"Target 1"	"73.40225219726562"	"613932.9375"	"21821.25390625"
"1"	"A1"	"51"	"Target 1"	"73.6763687133789"	"607165.375"	"21844.44921875"
"1"	"A1"	"52"	"Target 1"	"73.95048522949219"	"600807.125"	"21863.921875"
"1"	"A1"	"53"	"Target 1"	"74.22459411621094"	"592627.0"	"21878.740234375"
"1"	"A1"	"54"	"Target 1"	"74.49871826171875"	"587980.875"	"21911.46875"
"1"	"A1"	"55"	"Target 1"	"74.7728271484375"	"581383.0"	"21999.083984375"
"1"	"A1"	"56"	"Target 1"	"75.04694366455078"	"576143.875"	"22166.8515625"
"1"	"A1"	"57"	"Target 1"	"75.32106018066406"	"569231.75"	"22404.22265625"
"1"	"A1"	"58"	"Target 1"	"75.59517669677734"	"564341.5625"	"22662.41015625"
"1"	"A1"	"59"	"Target 1"	"75.86929321289062"	"556071.6875"	"22881.81640625"
"1"	"A1"	"60"	"Target 1"	"76.14340209960938"	"549209.5625"	"23034.755859375"
"1"	"A1"	"61"	"Target 1"	"76.41751861572266"	"540481.5"	"23157.849609375"
"1"	"A1"	"62"	"Target 1"	"76.69163513183594"	"536044.5"	"23350.3359375"
"1"	"A1"	"63"	"Target 1"	"76.96575164794922"	"530746.9375"	"23737.884765625"
"1"	"A1"	"64"	"Target 1"	"77.2398681640625"	"523980.28125"	"24428.966796875"
"1"	"A1"	"65"	"Target 1"	"77.51398468017578"	"517856.28125"	"25497.89453125"
"1"	"A1"	"66"	"Target 1"	"77.78810119628906"	"508264.09375"	"27016.80859375"
"1"	"A1"	"67"	"Target 1"	"78.06221008300781"	"501441.59375"	"29125.96484375"
"1"	"A1"	"68"	"Target 1"	"78.3363265991211"	"492654.6875"	"32109.525390625"
"1"	"A1"	"69"	"Target 1"	"78.61044311523438"	"483339.1875"	"36439.55859375"
"1"	"A1"	"70"	"Target 1"	"78.88455963134766"	"476302.15625"	"42758.03515625"
"1"	"A1"	"71"	"Target 1"	"79.15867614746094"	"465841.375"	"51772.2109375"
"1"	"A1"	"72"	"Target 1"	"79.43278503417969"	"450235.375"	"64045.68359375"
"1"	"A1"	"73"	"Target 1"	"79.7069091796875"	"436659.3125"	"79681.53125"
"1"	"A1"	"74"	"Target 1"	"79.98101806640625"	"412033.0"	"97956.3515625"
"1"	"A1"	"75"	"Target 1"	"80.25513458251953"	"380890.875"	"117054.8359375"
"1"	"A1"	"76"	"Target 1"	"80.52925109863281"	"336381.09375"	"134123.9375"
"1"	"A1"	"77"	"Target 1"	"80.8033676147461"	"266559.90625"	"145809.0"
"1"	"A1"	"78"	"Target 1"	"81.07748413085938"	"183163.78125"	"149213.984375"
"1"	"A1"	"79"	"Target 1"	"81.35159301757812"	"110386.390625"	"142940.5"
"1"	"A1"	"80"	"Target 1"	"81.6257095336914"	"72184.53125"	"127707.25"
"1"	"A1"	"81"	"Target 1"	"81.89982604980469"	"56191.80859375"	"106199.296875"
"1"	"A1"	"82"	"Target 1"	"82.17394256591797"	"50902.33984375"	"82184.375"
"1"	"A1"	"83"	"Target 1"	"82.44805908203125"	"46951.40234375"	"59318.19921875"
"1"	"A1"	"84"	"Target 1"	"82.72217559814453"	"46662.00390625"	"40177.453125"
"1"	"A1"	"85"	"Target 1"	"82.99629211425781"	"47980.3984375"	"25866.671875"
"1"	"A1"	"86"	"Target 1"	"83.27040100097656"	"45959.0546875"	"15766.6875"
"1"	"A1"	"87"	"Target 1"	"83.54451751708984"	"43620.69921875"	"9206.29296875"
"1"	"A1"	"88"	"Target 1"	"83.81863403320312"	"42304.86328125"	"5440.06640625"
"1"	"A1"	"89"	"Target 1"	"84.0927505493164"	"41685.90625"	"3369.181640625"
"1"	"A1"	"90"	"Target 1"	"84.36686706542969"	"43053.5703125"	"2242.974609375"
"1"	"A1"	"91"	"Target 1"	"84.64097595214844"	"40777.51953125"	"1634.67578125"
"1"	"A1"	"92"	"Target 1"	"84.91510009765625"	"42225.50390625"	"1328.689453125"
"1"	"A1"	"93"	"Target 1"	"85.189208984375"	"41046.08984375"	"1207.740234375"
"1"	"A1"	"94"	"Target 1"	"85.46332550048828"	"40236.80078125"	"1185.318359375"
"1"	"A1"	"95"	"Target 1"	"85.73744201660156"	"39640.5859375"	"1187.73046875"
"1"	"A1"	"96"	"Target 1"	"86.01155853271484"	"38606.79296875"	"1165.287109375"
"1"	"A1"	"97"	"Target 1"	"86.28567504882812"	"38134.66015625"	"1106.7265625"
"1"	"A1"	"98"	"Target 1"	"86.55978393554688"	"37132.6015625"	"1037.736328125"
"1"	"A1"	"99"	"Target 1"	"86.83390045166016"	"39102.07421875"	"999.7421875"
"1"	"A1"	"100"	"Target 1"	"87.10801696777344"	"37176.796875"	"1019.859375"
"1"	"A1"	"101"	"Target 1"	"87.38213348388672"	"35590.6640625"	"1090.79296875"
"1"	"A1"	"102"	"Target 1"	"87.65625"	"36004.26171875"	"1173.228515625"
"1"	"A1"	"103"	"Target 1"	"87.93035888671875"	"35228.66015625"	"1218.005859375"
"1"	"A1"	"104"	"Target 1"	"88.20448303222656"	"33201.20703125"	"1193.0"
"1"	"A1"	"105"	"Target 1"	"88.47859191894531"	"35023.34375"	"1098.75390625"
"1"	"A1"	"106"	"Target 1"	"88.7527084350586"	"33263.62109375"	"966.791015625"
"1"	"A1"	"107"	"Target 1"	"89.02682495117188"	"32298.16796875"	"844.30078125"
"1"	"A1"	"108"	"Target 1"	"89.30094146728516"	"34610.34765625"	"773.064453125"
"1"	"A1"	"109"	"Target 1"	"89.57505798339844"	"32492.3359375"	"771.048828125"
"1"	"A1"	"110"	"Target 1"	"89.84916687011719"	"32154.66796875"	"823.89453125"
"1"	"A1"	"111"	"Target 1"	"90.123291015625"	"31283.078125"	"891.185546875"
"1"	"A1"	"112"	"Target 1"	"90.39739990234375"	"30617.609375"	"925.78125"
"1"	"A1"	"113"	"Target 1"	"90.67151641845703"	"30310.349609375"	"896.89453125"
"1"	"A1"	"114"	"Target 1"	"90.94563293457031"	"29889.880859375"	"804.6953125"
"1"	"A1"	"115"	"Target 1"	"91.2197494506836"	"29966.484375"	"679.052734375"
"1"	"A1"	"116"	"Target 1"	"91.49386596679688"	"28844.380859375"	"563.90625"
"1"	"A1"	"117"	"Target 1"	"91.76797485351562"	"30334.646484375"	"495.70703125"
"1"	"A1"	"118"	"Target 1"	"92.04209899902344"	"29455.18359375"	"486.787109375"
"1"	"A1"	"119"	"Target 1"	"92.31620788574219"	"27128.419921875"	"522.009765625"
"1"	"A1"	"120"	"Target 1"	"92.59032440185547"	"28891.216796875"	"570.099609375"
"1"	"A1"	"121"	"Target 1"	"92.86444091796875"	"26271.41796875"	"602.17578125"
"1"	"A1"	"122"	"Target 1"	"93.13855743408203"	"28219.43359375"	"605.0546875"
"1"	"A1"	"123"	"Target 1"	"93.41267395019531"	"26904.71875"	"581.705078125"
"1"	"A1"	"124"	"Target 1"	"93.68678283691406"	"25480.3515625"	"541.73828125"
"1"	"A1"	"125"	"Target 1"	"93.96090698242188"	"27017.130859375"	"492.396484375"
"1"	"A1"	"126"	"Target 1"	"94.23501586914062"	"24577.5546875"	"436.9296875"
"1"	"A1"	"127"	"Target 1"	"94.5091323852539"	"25620.65234375"	"378.7109375"
"1"	"A1"	"128"	"Target 1"	"94.78324890136719"	"26476.697265625"	"324.115234375"
"2"	"A2"	"1"	"Target 1"	"59.97060012817383"	"960625.5"	"17818.283203125"
"2"	"A2"	"2"	"Target 1"	"60.24471664428711"	"959027.375"	"18291.92578125"
"2"	"A2"	"3"	"Target 1"	"60.51883316040039"	"959375.3125"	"18858.98828125"
"2"	"A2"	"4"	"Target 1"	"60.792945861816406"	"953528.1875"	"19434.998046875"
"2"	"A2"	"5"	"Target 1"	"61.06706237792969"	"950101.875"	"19923.18359375"
"2"	"A2"	"6"	"Target 1"	"61.34117889404297"	"945726.8125"	"20258.53515625"
"2"	"A2"	"7"	"Target 1"	"61.61529541015625"	"939431.125"	"20434.755859375"
"2"	"A2"	"8"	"Target 1"	"61.889408111572266"	"933192.1875"	"20505.15625"
"2"	"A2"	"9"	"Target 1"	"62.16352462768555"	"927093.5"	"20557.330078125"
"2"	"A2"	"10"	"Target 1"	"62.43763732910156"	"920510.75"	"20675.76171875"
"2"	"A2"	"11"	"Target 1"	"62.711753845214844"	"915924.0"	"20910.3828125"
"2"	"A2"	"12"	"Target 1"	"62.985870361328125"	"909741.3125"	"21260.447265625"
"2"	"A2"	"13"	"Target 1"	"63.259986877441406"	"903483.4375"	"21681.7890625"
"2"	"A2"	"14"	"Target 1"	"63.53409957885742"	"898871.4375"	"22109.205078125"
"2"	"A2"	"15"	"Target 1"	"63.8082160949707"	"891872.1875"	"22477.396484375"
"2"	"A2"	"16"	"Target 1"	"64.08232879638672"	"884963.6875"	"22738.453125"
"2"	"A2"	"17"	"Target 1"	"64.3564453125"	"877036.25"	"22908.923828125"
"2"	"A2"	"18"	"Target 1"	"64.63056182861328"	"871571.375"	"22991.591796875"
"2"	"A2"	"19"	"Target 1"	"64.90467834472656"	"864927.1875"	"22994.615234375"
"2"	"A2"	"20"	"Target 1"	"65.17879486083984"	"857950.625"	"22930.90234375"
"2"	"A2"	"21"	"Target 1"	"65.45291137695312"	"850652.6875"	"22820.701171875"
"2"	"A2"	"22"	"Target 1"	"65.72702026367188"	"843709.75"	"22690.3671875"
"2"	"A2"	"23"	"Target 1"	"66.00113677978516"	"836917.375"	"22564.998046875"
"2"	"A2"	"24"	"Target 1"	"66.27525329589844"	"831929.6875"	"22461.22265625"
"2"	"A2"	"25"	"Target 1"	"66.54936981201172"	"823979.3125"	"22383.09375"
"2"	"A2"	"26"	"Target 1"	"66.823486328125"	"818572.75"	"22330.798828125"
"2"	"A2"	"27"	"Target 1"	"67.09760284423828"	"810154.1875"	"22309.091796875"
"2"	"A2"	"28"	"Target 1"	"67.37171936035156"	"806581.125"	"22319.7578125"
"2"	"A2"	"29"	"Target 1"	"67.64582824707031"	"797841.5625"	"22363.515625"
"2"	"A2"	"30"	"Target 1"	"67.9199447631836"	"791094.375"	"22432.626953125"
"2"	"A2"	"31"	"Target 1"	"68.19406127929688"	"787486.9375"	"22509.908203125"
"2"	"A2"	"32"	"Target 1"	"68.46817779541016"	"778991.375"	"22582.986328125"
"2"	"A2"	"33"	"Target 1"	"68.74229431152344"	"772101.75"	"22639.62109375"
"2"	"A2"	"34"	"Target 1"	"69.01640319824219"	"766422.4375"	"22679.998046875"
"2"	"A2"	"35"	"Target 1"	"69.29051971435547"	"760006.125"	"22719.361328125"
"2"	"A2"	"36"	"Target 1"	"69.56463623046875"	"752487.75"	"22783.05859375"
"2"	"A2"	"37"	"Target 1"	"69.83875274658203"	"746637.875"	"22895.54296875"
"2"	"A2"	"38"	"Target 1"	"70.11286926269531"	"740191.1875"	"23066.22265625"
"2"	"A2"	"39"	"Target 1"	"70.3869857788086"	"733401.875"	"23281.359375"
"2"	"A2"	"40"	"Target 1"	"70.66110229492188"	"727978.0"	"23507.04296875"
"2"	"A2"	"41"	"Target 1"	"70.93521118164062"	"719210.4375"	"23704.951171875"
"2"	"A2"	"42"	"Target 1"	"71.2093276977539"	"711993.625"	"23849.341796875"
"2"	"A2"	"43"	"Target 1"	"71.48344421386719"	"705118.5"	"23938.046875"
"2"	"A2"	"44"	"Target 1"	"71.75756072998047"	"697868.375"	"23990.376953125"
"2"	"A2"	"45"	"Target 1"	"72.03167724609375"	"691821.8125"	"24033.7109375"
"2"	"A2"	"46"	"Target 1"	"72.3057861328125"	"683279.375"	"24089.828125"
"2"	"A2"	"47"	"Target 1"	"72.57991027832031"	"678919.4375"	"24166.873046875"
"2"	"A2"	"48"	"Target 1"	"72.85401916503906"	"670102.125"	"24258.646484375"
"2"	"A2"	"49"	"Target 1"	"73.12813568115234"	"663044.8125"	"24348.5625"
"2"	"A2"	"50"	"Target 1"	"73.40225219726562"	"657711.5625"	"24418.072265625"
"2"	"A2"	"51"	"Target 1"	"73.6763687133789"	"649815.625"	"24456.11328125"
"2"	"A2"	"52"	"Target 1"	"73.95048522949219"	"641530.1875"	"24467.142578125"
