# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Sample"	"Target"	"Tm"	"Melt Peak Height"	"Melt Peak Parity Factor"
"1"	"A1"	"Sample 1"	"Target 1"	"81.07748413085938"	"149213.984375"	"-"
"1"	"A1"	"Sample 1"	"Target 1"	"87.93035888671875"	"1218.005859375"	"-"
"1"	"A1"	"Sample 1"	"Target 1"	"64.4935073852539"	"21161.02734375"	"-"
"1"	"A1"	"Sample 1"	"Target 1"	"90.39739990234375"	"925.78125"	"-"
"2"	"A2"	"Sample 1"	"Target 1"	"81.07748413085938"	"158608.203125"	"-"
"2"	"A2"	"Sample 1"	"Target 1"	"64.76761627197266"	"23002.421875"	"-"
"2"	"A2"	"Sample 1"	"Target 1"	"92.59032440185547"	"1120.4375"	"-"
"2"	"A2"	"Sample 1"	"Target 1"	"75.32106018066406"	"24640.908203125"	"-"
"3"	"A3"	"Sample 1"	"Target 1"	"81.09698486328125"	"135839.765625"	"-"
"3"	"A3"	"Sample 1"	"Target 1"	"64.35289001464844"	"21249.60546875"	"-"
"3"	"A3"	"Sample 1"	"Target 1"	"89.331787109375"	"1493.4375"	"-"
"3"	"A3"	"Sample 1"	"Target 1"	"67.09782409667969"	"21330.048828125"	"-"
"3"	"A3"	"Sample 1"	"Target 1"	"71.48971557617188"	"22344.314453125"	"-"
"4"	"A4"	"Sample 1"	"Target 1"	"81.09698486328125"	"169696.25"	"-"
"4"	"A4"	"Sample 1"	"Target 1"	"71.0779800415039"	"23682.296875"	"-"
"4"	"A4"	"Sample 1"	"Target 1"	"64.62738037109375"	"23031.36328125"	"-"
"4"	"A4"	"Sample 1"	"Target 1"	"68.33304595947266"	"22781.2265625"	"-"
"5"	"A5"	"Sample 1"	"Target 1"	"81.05567932128906"	"165623.078125"	"-"
"5"	"A5"	"Sample 1"	"Target 1"	"74.61769104003906"	"25837.61328125"	"-"
"5"	"A5"	"Sample 1"	"Target 1"	"90.3702163696289"	"1521.79296875"	"-"
"5"	"A5"	"Sample 1"	"Target 1"	"67.49481201171875"	"23567.888671875"	"-"
"5"	"A5"	"Sample 1"	"Target 1"	"63.79639434814453"	"23489.88671875"	"-"
"6"	"A6"	"Sample 1"	"Target 1"	"81.05567932128906"	"155033.53125"	"-"
"6"	"A6"	"Sample 1"	"Target 1"	"89.82229614257812"	"1638.625"	"-"
"6"	"A6"	"Sample 1"	"Target 1"	"86.80877685546875"	"1109.7265625"	"-"
"6"	"A6"	"Sample 1"	"Target 1"	"66.9468994140625"	"21801.361328125"	"-"
"6"	"A6"	"Sample 1"	"Target 1"	"64.20732879638672"	"21766.603515625"	"-"
"7"	"A7"	"Sample 1"	"Target 1"	"81.09564971923828"	"162112.234375"	"-"
"7"	"A7"	"Sample 1"	"Target 1"	"71.63352966308594"	"22939.810546875"	"-"
"7"	"A7"	"Sample 1"	"Target 1"	"67.10816955566406"	"22238.763671875"	"-"
"7"	"A7"	"Sample 1"	"Target 1"	"63.954132080078125"	"21868.654296875"	"-"
"7"	"A7"	"Sample 1"	"Target 1"	"91.92909240722656"	"1444.439453125"	"-"
"8"	"A8"	"Sample 1"	"Target 1"	"81.09564971923828"	"151713.421875"	"-"
"8"	"A8"	"Sample 1"	"Target 1"	"91.2434310913086"	"484.626953125"	"-"
"8"	"A8"	"Sample 1"	"Target 1"	"66.4225082397461"	"21757.728515625"	"-"
"8"	"A8"	"Sample 1"	"Target 1"	"63.954132080078125"	"21587.337890625"	"-"
"8"	"A8"	"Sample 1"	"Target 1"	"72.59346008300781"	"23267.228515625"	"-"
"9"	"A9"	"Sample 1"	"Target 1"	"80.91810607910156"	"135366.40625"	"-"
"9"	"A9"	"Sample 1"	"Target 1"	"92.15113830566406"	"1024.9375"	"-"
"9"	"A9"	"Sample 1"	"Target 1"	"72.42483520507812"	"23574.1015625"	"-"
"10"	"A10"	"Sample 1"	"Target 1"	"80.91810607910156"	"133897.375"	"-"
"10"	"A10"	"Sample 1"	"Target 1"	"86.6716079711914"	"1270.09375"	"-"
"10"	"A10"	"Sample 1"	"Target 1"	"90.0963134765625"	"783.673828125"	"-"
"10"	"A10"	"Sample 1"	"Target 1"	"93.11005401611328"	"394.470703125"	"-"
"10"	"A10"	"Sample 1"	"Target 1"	"71.19194030761719"	"22337.955078125"	"-"
"11"	"A11"	"Sample 1"	"Target 1"	"81.03887176513672"	"134746.484375"	"-"
"11"	"A11"	"Sample 1"	"Target 1"	"65.02500915527344"	"21009.130859375"	"-"
"11"	"A11"	"Sample 1"	"Target 1"	"89.52484893798828"	"1541.32421875"	"-"
"11"	"A11"	"Sample 1"	"Target 1"	"70.36296844482422"	"21272.185546875"	"-"
"11"	"A11"	"Sample 1"	"Target 1"	"62.15073013305664"	"19014.791015625"	"-"
"12"	"A12"	"Sample 1"	"Target 1"	"81.03887176513672"	"145500.203125"	"-"
"12"	"A12"	"Sample 1"	"Target 1"	"67.2149429321289"	"20628.2265625"	"-"
"12"	"A12"	"Sample 1"	"Target 1"	"88.42988586425781"	"1288.7109375"	"-"
"12"	"A12"	"Sample 1"	"Target 1"	"90.61981201171875"	"1014.298828125"	"-"
"13"	"B1"	"Sample 1"	"Target 1"	"80.94042205810547"	"130014.53125"	"-"
"13"	"B1"	"Sample 1"	"Target 1"	"65.31584930419922"	"21146.498046875"	"-"
"13"	"B1"	"Sample 1"	"Target 1"	"89.71211242675781"	"1146.345703125"	"-"
"13"	"B1"	"Sample 1"	"Target 1"	"71.75756072998047"	"21531.837890625"	"-"
"14"	"B2"	"Sample 1"	"Target 1"	"81.07748413085938"	"153382.96875"	"-"
"14"	"B2"	"Sample 1"	"Target 1"	"64.76761627197266"	"22284.076171875"	"-"
"14"	"B2"	"Sample 1"	"Target 1"	"91.2197494506836"	"1642.7890625"	"-"
"14"	"B2"	"Sample 1"	"Target 1"	"94.3720703125"	"975.244140625"	"-"
"15"	"B3"	"Sample 1"	"Target 1"	"80.9597396850586"	"136599.21875"	"-"
"15"	"B3"	"Sample 1"	"Target 1"	"73.96015930175781"	"22361.45703125"	"-"
"15"	"B3"	"Sample 1"	"Target 1"	"65.99984741210938"	"21695.21484375"	"-"
"15"	"B3"	"Sample 1"	"Target 1"	"62.98042297363281"	"21502.3359375"	"-"
"16"	"B4"	"Sample 1"	"Target 1"	"81.09698486328125"	"140663.5625"	"-"
"16"	"B4"	"Sample 1"	"Target 1"	"63.39216613769531"	"22753.767578125"	"-"
"16"	"B4"	"Sample 1"	"Target 1"	"67.50956726074219"	"22730.451171875"	"-"
"16"	"B4"	"Sample 1"	"Target 1"	"73.13667297363281"	"24096.94921875"	"-"
"16"	"B4"	"Sample 1"	"Target 1"	"91.66497802734375"	"1132.470703125"	"-"
"17"	"B5"	"Sample 1"	"Target 1"	"80.918701171875"	"145156.90625"	"-"
"17"	"B5"	"Sample 1"	"Target 1"	"62.426612854003906"	"24277.306640625"	"-"
"18"	"B6"	"Sample 1"	"Target 1"	"80.918701171875"	"146629.609375"	"-"
"18"	"B6"	"Sample 1"	"Target 1"	"91.32906341552734"	"1340.423828125"	"-"
"18"	"B6"	"Sample 1"	"Target 1"	"87.63064575195312"	"1459.65234375"	"-"
"18"	"B6"	"Sample 1"	"Target 1"	"74.480712890625"	"25247.283203125"	"-"
"18"	"B6"	"Sample 1"	"Target 1"	"64.61827087402344"	"22782.0390625"	"-"
"19"	"B7"	"Sample 1"	"Target 1"	"80.9585189819336"	"141747.4375"	"-"
"19"	"B7"	"Sample 1"	"Target 1"	"64.09126281738281"	"23850.033203125"	"-"
"19"	"B7"	"Sample 1"	"Target 1"	"91.51769256591797"	"1948.865234375"	"-"
"19"	"B7"	"Sample 1"	"Target 1"	"87.12946319580078"	"2165.56640625"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"81.09564971923828"	"153899.8125"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"65.05118560791016"	"24592.658203125"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"73.14198303222656"	"25422.89453125"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"90.14637756347656"	"1006.6015625"	"-"
"20"	"B8"	"Sample 1"	"Target 1"	"87.81512451171875"	"1037.814453125"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"80.91810607910156"	"150445.328125"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"66.39734649658203"	"24428.478515625"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"92.56210327148438"	"1361.9921875"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"88.86341857910156"	"1350.595703125"	"-"
"21"	"B9"	"Sample 1"	"Target 1"	"62.97264099121094"	"24175.330078125"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"80.91810607910156"	"151798.890625"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"64.4795150756836"	"24756.833984375"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"71.05494689941406"	"26467.99609375"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"88.58944702148438"	"1370.412109375"	"-"
"22"	"B10"	"Sample 1"	"Target 1"	"93.79499816894531"	"1047.01953125"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"80.9020004272461"	"152273.25"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"89.93545532226562"	"2087.44140625"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"86.65056610107422"	"2449.978515625"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"93.90470886230469"	"1185.861328125"	"-"
"23"	"B11"	"Sample 1"	"Target 1"	"73.92160034179688"	"26848.44140625"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"80.9020004272461"	"129274.65625"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"72.00541687011719"	"23218.88671875"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"63.245697021484375"	"20682.833984375"	"-"
"24"	"B12"	"Sample 1"	"Target 1"	"90.61981201171875"	"1849.890625"	"-"
