# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Stage Number"	"Step Number"	"Cycle Number"	"SYBR"	"ROX"
"1"	"A1"	"2"	"2"	"1"	"62748.117"	"382107.53"
"1"	"A1"	"2"	"2"	"2"	"63983.664"	"382219.22"
"1"	"A1"	"2"	"2"	"3"	"64394.52"	"382349.44"
"1"	"A1"	"2"	"2"	"4"	"64781.305"	"381346.97"
"1"	"A1"	"2"	"2"	"5"	"67029.02"	"380458.25"
"1"	"A1"	"2"	"2"	"6"	"67813.91"	"379259.75"
"1"	"A1"	"2"	"2"	"7"	"69687.72"	"378543.75"
"1"	"A1"	"2"	"2"	"8"	"70941.55"	"377705.62"
"1"	"A1"	"2"	"2"	"9"	"70780.76"	"376986.8"
"1"	"A1"	"2"	"2"	"10"	"70622.19"	"376554.9"
"1"	"A1"	"2"	"2"	"11"	"71273.0"	"376035.94"
"1"	"A1"	"2"	"2"	"12"	"71535.61"	"375596.34"
"1"	"A1"	"2"	"2"	"13"	"72387.88"	"375280.7"
"1"	"A1"	"2"	"2"	"14"	"73735.875"	"374941.03"
"1"	"A1"	"2"	"2"	"15"	"74852.58"	"374614.34"
"1"	"A1"	"2"	"2"	"16"	"76655.52"	"374141.28"
"1"	"A1"	"2"	"2"	"17"	"78414.945"	"373930.66"
