# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Stage Number"	"Step Number"	"Cycle Number"	"X1_M1"	"X2_M2"	"X3_M3"	"X4_M4"	"X5_M5"
"1"	"A1"	"2"	"2"	"1"	"79043.35"	"35640.492"	"36104.125"	"381957.22"	"289.59042"
"2"	"A2"	"2"	"2"	"1"	"97631.87"	"34758.6"	"39874.375"	"394496.03"	"-868.2554"
"3"	"A3"	"2"	"2"	"1"	"89382.05"	"31408.902"	"40715.336"	"372561.16"	"163.26752"
"4"	"A4"	"2"	"2"	"1"	"99525.586"	"30752.533"	"46231.938"	"391763.16"	"-1404.574"
"5"	"A5"	"2"	"2"	"1"	"89679.18"	"30891.04"	"48077.76"	"395069.94"	"-385.69434"
"6"	"A6"	"2"	"2"	"1"	"87654.57"	"28616.834"	"46154.406"	"376131.94"	"-634.1607"
"7"	"A7"	"2"	"2"	"1"	"113989.07"	"33327.32"	"49360.05"	"405306.88"	"13.527925"
"8"	"A8"	"2"	"2"	"1"	"95667.92"	"30192.113"	"46850.797"	"388173.06"	"-1495.4078"
"9"	"A9"	"2"	"2"	"1"	"98848.45"	"32232.258"	"44893.117"	"391839.12"	"-288.61993"
"10"	"A10"	"2"	"2"	"1"	"99844.76"	"33585.97"	"41770.18"	"385158.66"	"1360.3717"
