# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Omit"	"Sample"	"Target"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Amp Score"	"Curve Quality"	"Result Quality Issues"	"Cq"	"Cq Confidence"	"Cq Mean"	"Cq SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Tm5"
"1"	"A1"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3520201082679153"	""	""	"22.374752813799248"	"0.951754934997668"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"11"	"18"	"81.07748413085938"	""	""	""	""
"2"	"A2"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3525272984554142"	""	""	"22.257284299982913"	"0.9514632421125485"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"11"	"18"	"81.07748413085938"	""	""	""	""
"3"	"A3"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3556096918786884"	""	""	"25.35660112652699"	"0.9460665637069239"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09698486328125"	""	""	""	""
"4"	"A4"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3530028849970197"	""	""	"25.291919567010154"	"0.9388525752130221"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"14"	"21"	"81.09698486328125"	""	""	""	""
"5"	"A5"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3621298640892718"	""	""	"14.575481488675194"	"0.9620577510595617"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"7"	"10"	"81.05567932128906"	""	""	""	""
"6"	"A6"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3620455686761357"	""	""	"14.65182784695374"	"0.9714325282183469"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"7"	"10"	"81.05567932128906"	""	""	""	""
"7"	"A7"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3394590074546542"	""	""	"24.32586506454402"	"0.8959552237194236"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"81.09564971923828"	""	""	""	""
"8"	"A8"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3558477956913275"	""	""	"24.695650036478042"	"0.916936425843246"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09564971923828"	""	""	""	""
"9"	"A9"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.348995270250666"	""	""	"26.15084012259822"	"0.9573527298479638"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.91810607910156"	""	""	""	""
"10"	"A10"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3538274490955893"	""	""	"26.19549835774631"	"0.9567888468566822"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.91810607910156"	""	""	""	""
"11"	"A11"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3495635130581607"	""	""	"24.375687556756283"	"0.9528487950879528"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"81.03887176513672"	""	""	""	""
"12"	"A12"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3499460849989406"	""	""	"24.557170490771185"	"0.9458799912908203"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"81.03887176513672"	""	""	""	""
"13"	"B1"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3504530086158588"	""	""	"26.033678648182253"	"0.9506064643948046"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"14"	"22"	"80.94042205810547"	""	""	""	""
"14"	"B2"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.35758239200374"	""	""	"25.796536409949965"	"0.9461836634846729"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.07748413085938"	""	""	""	""
"15"	"B3"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3589589370150947"	""	""	"25.585680515206178"	"0.9380767747088964"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.9597396850586"	""	""	""	""
"16"	"B4"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.3599522578423684"	""	""	"25.351646324309804"	"0.9444070898392729"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09698486328125"	""	""	""	""
"17"	"B5"	"FALSE"	"Sample 1"	"Target 1"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"1.36616263486894"	""	""	"16.939424334495406"	"0.9637813999947392"	"24.45756170655361"	"2.5964695479533315"	"FALSE"	"0.1"	"TRUE"	"8"	"13"	"80.918701171875"	""	""	""	""
