# File Name: C:\Users\smith.j\OneDrive - wehi.edu.au\Documents\Testing-Git\proxipal\app\data\251110_iPLA_NfLplasma_demo2\251112\251110_iPLA_NfLplasma_demo2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272513413
# Instrument Serial Number: 272513413
# Heated Cover Serial Number:
# Block serial number: 21125672
# Run Start Date/Time: 2025-11-12 07:37:23 PM AEDT
# Run End Data/Time: 2025-11-12 08:42:03 PM AEDT
# Run Duration: 64 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-12-17 03:45:32 PM AEDT
# Software Name and Version: Design & Analysis Software v3.0.1
# Plugin Name and Version: Primary Analysis v1.9.0, Standard Curve v1.8.1
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2025-12-17 03:45:52 PM AEDT
"Well"	"Well Position"	"Sample"	"Quantity"	"Target"	"Dye"	"Task"	"Reporter"	"Quencher"	"Amp Status"	"Cq"	"Cq Mean"	"Cq Confidence"	"Cq SD"	"Quantity Mean"	"Quantity SD"	"Auto Threshold"	"Threshold"	"Auto Baseline"	"Baseline Start"	"Baseline End"	"Tm1"	"Tm2"	"Tm3"	"Tm4"	"Y-Intercept"	"R2"	"Slope"	"Efficiency"	"Standard Deviation"	"Standard Error"	"Omit"
"1"	"A1"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"22.374752813799248"	"24.45756170655361"	"0.951754934997668"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"11"	"18"	"81.07748413085938"	""	""	""	""	""	""	""	""	""	"FALSE"
"2"	"A2"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"22.257284299982913"	"24.45756170655361"	"0.9514632421125485"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"11"	"18"	"81.07748413085938"	""	""	""	""	""	""	""	""	""	"FALSE"
"3"	"A3"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.35660112652699"	"24.45756170655361"	"0.9460665637069239"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09698486328125"	""	""	""	""	""	""	""	""	""	"FALSE"
"4"	"A4"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"25.291919567010154"	"24.45756170655361"	"0.9388525752130221"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"14"	"21"	"81.09698486328125"	""	""	""	""	""	""	""	""	""	"FALSE"
"5"	"A5"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"14.575481488675194"	"24.45756170655361"	"0.9620577510595617"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"7"	"10"	"81.05567932128906"	""	""	""	""	""	""	""	""	""	"FALSE"
"6"	"A6"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"14.65182784695374"	"24.45756170655361"	"0.9714325282183469"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"7"	"10"	"81.05567932128906"	""	""	""	""	""	""	""	""	""	"FALSE"
"7"	"A7"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"24.32586506454402"	"24.45756170655361"	"0.8959552237194236"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"81.09564971923828"	""	""	""	""	""	""	""	""	""	"FALSE"
"8"	"A8"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"24.695650036478042"	"24.45756170655361"	"0.916936425843246"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"21"	"81.09564971923828"	""	""	""	""	""	""	""	""	""	"FALSE"
"9"	"A9"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"26.15084012259822"	"24.45756170655361"	"0.9573527298479638"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"10"	"A10"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"26.19549835774631"	"24.45756170655361"	"0.9567888468566822"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"13"	"22"	"80.91810607910156"	""	""	""	""	""	""	""	""	""	"FALSE"
"11"	"A11"	"Sample 1"	""	"Target 1"	"SYBR"	"UNKNOWN"	"SYBR"	"None"	"AMP"	"24.375687556756283"	"24.45756170655361"	"0.9528487950879528"	"2.5964695479533315"	""	""	"FALSE"	"0.1"	"TRUE"	"12"	"20"	"81.03887176513672"	""	""	""	""	""	""	""	""	""	"FALSE"
